time_s,sensor,measurement,innovation,innovation_sigma,nis,accepted
0.170000,telemetrum,pressure,-73.943543,260.249694,0.080727,True
0.170000,telemetrum,acceleration,-6.923421,15.180254,0.208010,True
0.180000,telemetrum,pressure,-69.066829,260.060927,0.070532,True
0.180000,telemetrum,acceleration,16.820185,15.175404,1.228516,True
0.190000,telemetrum,pressure,-80.327318,259.878051,0.095540,True
0.190000,telemetrum,acceleration,5.534209,15.171892,0.133055,True
0.200000,telemetrum,pressure,-74.652288,259.700694,0.082630,True
0.200000,telemetrum,acceleration,5.231118,15.169347,0.118920,True
0.210000,telemetrum,pressure,-69.278629,259.528879,0.071257,True
0.210000,telemetrum,acceleration,-16.705366,15.167501,1.213065,True
0.220000,telemetrum,pressure,-64.297682,259.362418,0.061458,True
0.220000,telemetrum,acceleration,19.316422,15.166161,1.622191,True
0.230000,telemetrum,pressure,-59.402587,259.201068,0.052522,True
0.230000,telemetrum,acceleration,-3.670842,15.165188,0.058592,True
0.240000,telemetrum,pressure,-44.854602,259.044680,0.029982,True
0.240000,telemetrum,acceleration,-17.069104,15.164482,1.266970,True
0.250000,telemetrum,pressure,-41.307360,258.893163,0.025457,True
0.250000,telemetrum,acceleration,-21.258900,15.163968,1.965422,True
0.260000,telemetrum,pressure,-37.962335,258.746209,0.021526,True
0.260000,telemetrum,acceleration,-6.761107,15.163595,0.198807,True
0.270000,telemetrum,pressure,-34.717987,258.603630,0.018024,True
0.270000,telemetrum,acceleration,-2.663795,15.163325,0.030861,True
0.280000,telemetrum,pressure,-31.606647,258.465267,0.014954,True
0.280000,telemetrum,acceleration,-0.731213,15.163128,0.002325,True
0.290000,telemetrum,pressure,-50.626396,258.330959,0.038406,True
0.290000,telemetrum,acceleration,-74.424090,15.162985,24.091158,False
0.300000,telemetrum,pressure,-46.341557,258.200369,0.032213,True
0.300000,telemetrum,acceleration,4.025102,15.326972,0.068967,True
0.310000,telemetrum,pressure,-42.232786,258.073546,0.026780,True
0.310000,telemetrum,acceleration,-70.972416,15.279700,21.574936,False
0.320000,telemetrum,pressure,-38.329662,257.950376,0.022080,True
0.320000,telemetrum,acceleration,-103.483185,15.442449,44.906297,False
0.330000,telemetrum,pressure,-34.600006,257.830706,0.018009,True
0.330000,telemetrum,acceleration,9.036003,15.603499,0.335358,True
0.340000,telemetrum,pressure,-14.964813,257.714367,0.003372,True
0.340000,telemetrum,acceleration,-42.796077,15.466547,7.656340,True
0.350000,telemetrum,pressure,-12.809479,257.601431,0.002473,True
0.350000,telemetrum,acceleration,3.644774,15.375546,0.056193,True
0.360000,telemetrum,pressure,-10.462866,257.491550,0.001651,True
0.360000,telemetrum,acceleration,-19.168415,15.313420,1.566852,True
0.370000,telemetrum,pressure,-8.356372,257.384666,0.001054,True
0.370000,telemetrum,acceleration,26.818530,15.270222,3.084461,True
0.380000,telemetrum,pressure,-6.049931,257.280613,0.000553,True
0.380000,telemetrum,acceleration,12.732293,15.239799,0.697999,True
0.390000,telemetrum,pressure,117.109079,257.179333,0.207352,True
0.390000,telemetrum,acceleration,-12.992828,15.218182,0.728923,True
0.400000,telemetrum,pressure,112.240266,257.081537,0.190614,True
0.400000,telemetrum,acceleration,0.876108,15.202724,0.003321,True
0.410000,telemetrum,pressure,107.704703,256.986192,0.175651,True
0.410000,telemetrum,acceleration,25.004950,15.191620,2.709217,True
0.420000,telemetrum,pressure,103.560300,256.893211,0.162510,True
0.420000,telemetrum,acceleration,39.817934,15.183618,6.877125,True
0.430000,telemetrum,pressure,99.757008,256.802521,0.150900,True
0.430000,telemetrum,acceleration,14.753781,15.177837,0.944902,True
0.440000,telemetrum,pressure,5.059847,256.714072,0.000388,True
0.440000,telemetrum,acceleration,2.742861,15.173655,0.032676,True
0.450000,telemetrum,pressure,6.309971,256.627251,0.000605,True
0.450000,telemetrum,acceleration,4.925071,15.170625,0.105395,True
0.460000,telemetrum,pressure,7.563355,256.542575,0.000869,True
0.460000,telemetrum,acceleration,-21.615548,15.168428,2.030726,True
0.470000,telemetrum,pressure,8.656961,256.459987,0.001139,True
0.470000,telemetrum,acceleration,9.456444,15.166833,0.388746,True
0.480000,telemetrum,pressure,9.900861,256.379380,0.001491,True
0.480000,telemetrum,acceleration,10.117554,15.165676,0.445069,True
0.490000,telemetrum,pressure,-46.853577,256.300705,0.033418,True
0.490000,telemetrum,acceleration,9.141201,15.164836,0.363355,True
0.500000,telemetrum,pressure,-42.743570,256.223596,0.027829,True
0.500000,telemetrum,acceleration,8.820108,15.164226,0.338304,True
0.510000,telemetrum,pressure,-38.755593,256.148324,0.022892,True
0.510000,telemetrum,acceleration,13.717122,15.163782,0.818297,True
0.520000,telemetrum,pressure,-34.852536,256.074822,0.018524,True
0.520000,telemetrum,acceleration,-1.728179,15.163460,0.012989,True
0.530000,telemetrum,pressure,-31.136934,256.003041,0.014793,True
0.530000,telemetrum,acceleration,-9.733678,15.163226,0.412070,True
0.540000,telemetrum,pressure,-49.573397,255.932919,0.037518,True
0.540000,telemetrum,acceleration,-7.268382,15.163056,0.229775,True
0.550000,telemetrum,pressure,-45.079160,255.864295,0.031041,True
0.550000,telemetrum,acceleration,8.253116,15.162932,0.296258,True
0.560000,telemetrum,pressure,-40.641830,255.797219,0.025244,True
0.560000,telemetrum,acceleration,7.555023,15.162843,0.248262,True
0.570000,telemetrum,pressure,-36.331569,255.731649,0.020184,True
0.570000,telemetrum,acceleration,5.410054,15.162777,0.127305,True
0.580000,telemetrum,pressure,-32.149505,255.667536,0.015812,True
0.580000,telemetrum,acceleration,-7.258425,15.162730,0.229155,True
0.590000,telemetrum,pressure,-43.149407,255.604837,0.028498,True
0.590000,telemetrum,acceleration,-10.838630,15.162695,0.510971,True
0.600000,telemetrum,pressure,-38.624409,255.543442,0.022845,True
0.600000,telemetrum,acceleration,-11.820770,15.162670,0.607771,True
0.610000,telemetrum,pressure,-34.245304,255.483375,0.017967,True
0.610000,telemetrum,acceleration,-2.338022,15.162652,0.023776,True
0.620000,telemetrum,pressure,-29.949232,255.424587,0.013748,True
0.620000,telemetrum,acceleration,-21.603720,15.162639,2.030054,True
0.630000,telemetrum,pressure,-25.883745,255.367053,0.010274,True
0.630000,telemetrum,acceleration,-20.998122,15.162629,1.917838,True
0.640000,telemetrum,pressure,-43.950174,255.310724,0.029634,True
0.640000,telemetrum,acceleration,19.257836,15.162622,1.613119,True
0.650000,telemetrum,pressure,-39.001749,255.255464,0.023346,True
0.650000,telemetrum,acceleration,14.357138,15.162617,0.896577,True
0.660000,telemetrum,pressure,-34.204335,255.201346,0.017964,True
0.660000,telemetrum,acceleration,16.359256,15.162613,1.164070,True
0.670000,telemetrum,pressure,-29.514889,255.148331,0.013381,True
0.670000,telemetrum,acceleration,28.406199,15.162611,3.509767,True
0.680000,telemetrum,pressure,-24.866820,255.096382,0.009502,True
0.680000,telemetrum,acceleration,40.216625,15.162609,7.034988,True
0.690000,telemetrum,pressure,-50.241988,255.045465,0.038806,True
0.690000,telemetrum,acceleration,22.924906,15.162607,2.285953,True
0.700000,telemetrum,pressure,-44.592325,254.995463,0.030581,True
0.700000,telemetrum,acceleration,13.353344,15.162606,0.775590,True
0.710000,telemetrum,pressure,-39.115017,254.946453,0.023539,True
0.710000,telemetrum,acceleration,16.023421,15.162606,1.116768,True
0.720000,telemetrum,pressure,-33.740779,254.898400,0.017522,True
0.720000,telemetrum,acceleration,10.569827,15.162605,0.485946,True
0.730000,telemetrum,pressure,-28.505877,254.851279,0.012511,True
0.730000,telemetrum,acceleration,11.590577,15.162605,0.584336,True
0.740000,telemetrum,pressure,-13.371272,254.805062,0.002754,True
0.740000,telemetrum,acceleration,11.431056,15.162604,0.568362,True
0.750000,telemetrum,pressure,-8.715223,254.759753,0.001170,True
0.750000,telemetrum,acceleration,5.615141,15.162604,0.137143,True
0.760000,telemetrum,pressure,-4.172723,254.715298,0.000268,True
0.760000,telemetrum,acceleration,-10.183010,15.162604,0.451029,True
0.770000,telemetrum,pressure,0.198533,254.671676,0.000001,True
0.770000,telemetrum,acceleration,-13.331294,15.162604,0.773031,True
0.780000,telemetrum,pressure,4.460186,254.628861,0.000307,True
0.780000,telemetrum,acceleration,-21.165220,15.162604,1.948489,True
0.790000,telemetrum,pressure,-29.415504,254.586833,0.013350,True
0.790000,telemetrum,acceleration,-16.504450,15.162604,1.184826,True
0.800000,telemetrum,pressure,-23.986724,254.545460,0.008880,True
0.800000,telemetrum,acceleration,-23.360921,15.162604,2.373736,True
0.810000,telemetrum,pressure,-18.733136,254.504842,0.005418,True
0.810000,telemetrum,acceleration,-0.296161,15.162604,0.000382,True
0.820000,telemetrum,pressure,-13.485056,254.464945,0.002808,True
0.820000,telemetrum,acceleration,0.777278,15.162604,0.002628,True
0.830000,telemetrum,pressure,-8.345107,254.425759,0.001076,True
0.830000,telemetrum,acceleration,-3.987496,15.162604,0.069160,True
0.840000,telemetrum,pressure,-13.341528,254.387266,0.002751,True
0.840000,telemetrum,acceleration,-5.979686,15.162604,0.155528,True
0.845000,easymini,pressure,875.909403,254.190633,11.874061,False
0.850000,telemetrum,pressure,-8.111941,254.349423,0.001017,True
0.850000,telemetrum,acceleration,-3.027992,15.162604,0.039881,True
0.855000,easymini,pressure,883.943418,254.155249,12.096250,False
0.860000,telemetrum,pressure,-2.982482,254.312238,0.000138,True
0.860000,telemetrum,acceleration,-21.681500,15.162603,2.044707,True
0.865000,easymini,pressure,891.771575,254.120474,12.314816,False
0.870000,telemetrum,pressure,1.927191,254.275702,0.000057,True
0.870000,telemetrum,acceleration,-25.194046,15.162603,2.760885,True
0.875000,easymini,pressure,897.460096,254.086290,12.475784,False
0.880000,telemetrum,pressure,6.690882,254.239793,0.000693,True
0.880000,telemetrum,acceleration,-35.928504,15.162603,5.614754,True
0.885000,easymini,pressure,879.969100,254.052683,11.997404,False
0.890000,telemetrum,pressure,-1.735868,254.204500,0.000047,True
0.890000,telemetrum,acceleration,-40.950077,15.162603,7.293935,True
0.895000,easymini,pressure,883.743607,254.019610,12.103698,False
0.900000,telemetrum,pressure,3.102428,254.169774,0.000149,True
0.900000,telemetrum,acceleration,-29.241021,15.162603,3.719097,True
0.905000,easymini,pressure,889.430856,253.987082,12.263124,False
0.910000,telemetrum,pressure,7.854518,254.135627,0.000955,True
0.910000,telemetrum,acceleration,-60.538641,15.162603,15.941081,False
0.915000,easymini,pressure,889.133824,253.955091,12.258023,False
0.920000,telemetrum,pressure,12.635023,254.102053,0.002472,True
0.920000,telemetrum,acceleration,-48.148375,15.326595,9.868972,True
0.925000,easymini,pressure,884.432230,253.923630,12.131734,False
0.930000,telemetrum,pressure,16.975480,254.069039,0.004464,True
0.930000,telemetrum,acceleration,-31.403768,15.279437,4.224243,True
0.935000,easymini,pressure,882.677778,253.892673,12.086597,False
0.940000,telemetrum,pressure,-1.731875,254.036561,0.000046,True
0.940000,telemetrum,acceleration,-42.874754,15.246315,7.908124,True
0.945000,easymini,pressure,889.436057,253.862171,12.275339,False
0.950000,telemetrum,pressure,3.074316,254.004568,0.000146,True
0.950000,telemetrum,acceleration,-31.511571,15.222826,4.284988,True
0.955000,easymini,pressure,880.090580,253.832157,12.021578,False
0.960000,telemetrum,pressure,7.778025,253.973091,0.000938,True
0.960000,telemetrum,acceleration,-12.712200,15.206051,0.698890,True
0.965000,easymini,pressure,886.694337,253.802614,12.205503,False
0.970000,telemetrum,pressure,12.437986,253.942114,0.002399,True
0.970000,telemetrum,acceleration,5.734585,15.194014,0.142449,True
0.975000,easymini,pressure,891.263088,253.773532,12.334433,False
0.980000,telemetrum,pressure,17.071261,253.911624,0.004520,True
0.980000,telemetrum,acceleration,20.869035,15.185345,1.888667,True
0.985000,easymini,pressure,894.797440,253.744899,12.435259,False
0.990000,telemetrum,pressure,-1.322099,253.881611,0.000027,True
0.990000,telemetrum,acceleration,53.868157,15.179086,12.594271,False
0.995000,easymini,pressure,887.803143,253.716689,12.244337,False
1.000000,telemetrum,pressure,3.754833,253.852049,0.000219,True
1.000000,telemetrum,acceleration,72.448243,15.342901,22.296709,False
1.005000,easymini,pressure,890.675425,253.688921,12.326391,False
1.010000,telemetrum,pressure,8.695813,253.822958,0.001174,True
1.010000,telemetrum,acceleration,73.998474,15.504985,22.777331,False
1.015000,easymini,pressure,887.418833,253.661588,12.239054,False
1.020000,telemetrum,pressure,13.505497,253.794327,0.002832,True
1.020000,telemetrum,acceleration,72.448894,15.665392,21.388533,False
1.025000,easymini,pressure,887.037736,253.634682,12.231139,False
1.030000,telemetrum,pressure,18.188352,253.766149,0.005137,True
1.030000,telemetrum,acceleration,81.229552,15.824172,26.350335,False
1.035000,easymini,pressure,884.536327,253.608195,12.164795,False
1.040000,telemetrum,pressure,-5.251333,253.738417,0.000428,True
1.040000,telemetrum,acceleration,75.039331,15.981373,22.047010,False
1.045000,easymini,pressure,894.732174,253.582071,12.449417,False
1.050000,telemetrum,pressure,0.018711,253.711071,0.000000,True
1.050000,telemetrum,acceleration,69.359332,16.137043,18.474041,False
1.055000,easymini,pressure,900.794922,253.556358,12.621264,False
1.060000,telemetrum,pressure,5.153152,253.684161,0.000413,True
1.060000,telemetrum,acceleration,75.039622,16.291223,21.216508,False
1.065000,easymini,pressure,897.728934,253.531049,12.537996,False
1.070000,telemetrum,pressure,10.156454,253.657681,0.001603,True
1.070000,telemetrum,acceleration,61.620278,16.443956,14.042186,False
1.075000,easymini,pressure,897.538403,253.506142,12.535138,False
1.080000,telemetrum,pressure,15.032903,253.631627,0.003513,True
1.080000,telemetrum,acceleration,75.551390,16.595280,20.726012,False
1.085000,easymini,pressure,909.227357,253.481630,12.866251,False
1.090000,telemetrum,pressure,-2.213383,253.605995,0.000076,True
1.090000,telemetrum,acceleration,64.711203,16.745234,14.934012,False
1.095000,easymini,pressure,890.416603,253.457476,12.341737,False
1.100000,telemetrum,pressure,3.049455,253.580743,0.000145,True
1.100000,telemetrum,acceleration,67.811495,16.893853,16.111991,False
1.105000,easymini,pressure,895.477829,253.433715,12.484780,False
1.110000,telemetrum,pressure,8.181898,253.555909,0.001041,True
1.110000,telemetrum,acceleration,58.002382,17.041171,11.584913,False
1.115000,easymini,pressure,906.415072,253.410346,12.793977,False
1.120000,telemetrum,pressure,13.188070,253.531492,0.002706,True
1.120000,telemetrum,acceleration,63.163995,17.187221,13.506035,False
1.125000,easymini,pressure,901.232207,253.387366,12.650378,False
1.130000,telemetrum,pressure,18.071932,253.507491,0.005082,True
1.130000,telemetrum,acceleration,58.006475,17.332032,11.200927,False
1.135000,easymini,pressure,903.932961,253.364777,12.728580,False
1.140000,telemetrum,pressure,-2.162709,253.483904,0.000073,True
1.140000,telemetrum,acceleration,75.556143,17.475635,18.692768,False
1.145000,easymini,pressure,907.198618,253.342539,12.822967,False
1.150000,telemetrum,pressure,3.177452,253.460693,0.000157,True
1.150000,telemetrum,acceleration,71.946687,17.618057,16.676525,False
1.155000,easymini,pressure,914.338981,253.320695,13.027861,False
1.160000,telemetrum,pressure,8.390012,253.437902,0.001096,True
1.160000,telemetrum,acceleration,68.338283,17.759325,14.807277,False
1.165000,easymini,pressure,907.357828,253.299246,12.831853,False
1.170000,telemetrum,pressure,13.478834,253.415531,0.002829,True
1.170000,telemetrum,acceleration,63.171121,17.899463,12.455385,False
1.175000,easymini,pressure,912.258789,253.278194,12.973003,False
1.180000,telemetrum,pressure,18.447621,253.393585,0.005300,True
1.180000,telemetrum,acceleration,68.855411,18.038495,14.570536,False
1.185000,easymini,pressure,901.045346,253.257543,12.658100,False
1.190000,telemetrum,pressure,23.299930,253.372065,0.008457,True
1.190000,telemetrum,acceleration,51.831373,18.176444,8.131443,True
1.195000,easymini,pressure,903.354172,253.235467,12.725271,False
1.200000,telemetrum,pressure,30.867166,253.348876,0.014844,True
1.200000,telemetrum,acceleration,30.234140,16.754733,3.256269,True
1.205000,easymini,pressure,902.349873,253.214379,12.699107,False
1.210000,telemetrum,pressure,37.023739,253.326798,0.021360,True
1.210000,telemetrum,acceleration,18.024250,16.129209,1.248787,True
1.215000,easymini,pressure,907.767282,253.193829,12.854134,False
1.220000,telemetrum,pressure,42.562242,253.305309,0.028233,True
1.220000,telemetrum,acceleration,16.674067,15.790232,1.115080,True
1.225000,easymini,pressure,909.037547,253.173674,12.892186,False
1.230000,telemetrum,pressure,47.946016,253.284246,0.035833,True
1.230000,telemetrum,acceleration,-9.598168,15.586001,0.379234,True
1.235000,easymini,pressure,920.583512,253.153896,13.223827,False
1.240000,telemetrum,pressure,23.557824,253.263587,0.008652,True
1.240000,telemetrum,acceleration,5.167690,15.455072,0.111802,True
1.245000,easymini,pressure,917.119445,253.134375,13.126518,False
1.250000,telemetrum,pressure,29.193713,253.243201,0.013289,True
1.250000,telemetrum,acceleration,-9.697503,15.367777,0.398197,True
1.255000,easymini,pressure,921.278633,253.115170,13.247858,False
1.260000,telemetrum,pressure,34.430842,253.223150,0.018488,True
1.260000,telemetrum,acceleration,-11.145913,15.308045,0.530142,True
1.265000,easymini,pressure,919.329794,253.096253,13.193841,False
1.270000,telemetrum,pressure,39.556594,253.203404,0.024406,True
1.270000,telemetrum,acceleration,6.169803,15.266447,0.163330,True
1.275000,easymini,pressure,917.580666,253.077597,13.145621,False
1.280000,telemetrum,pressure,44.900137,253.183933,0.031450,True
1.280000,telemetrum,acceleration,-11.328992,15.237121,0.552811,True
1.285000,easymini,pressure,914.489830,253.059224,13.059105,False
1.290000,telemetrum,pressure,27.881946,253.164759,0.012129,True
1.290000,telemetrum,acceleration,3.337327,15.216267,0.048104,True
1.295000,easymini,pressure,920.064971,253.041071,13.220716,False
1.300000,telemetrum,pressure,33.551788,253.145817,0.017567,True
1.300000,telemetrum,acceleration,-19.883343,15.201347,1.710861,True
1.305000,easymini,pressure,927.254007,253.023187,13.430024,False
1.310000,telemetrum,pressure,38.812147,253.127160,0.023510,True
1.310000,telemetrum,acceleration,0.686837,15.190626,0.002044,True
1.315000,easymini,pressure,918.597797,253.005539,13.182286,False
1.320000,telemetrum,pressure,44.243028,253.108748,0.030555,True
1.320000,telemetrum,acceleration,12.975136,15.182898,0.730322,True
1.325000,easymini,pressure,923.994948,252.988124,13.339481,False
1.330000,telemetrum,pressure,49.736124,253.090582,0.038618,True
1.330000,telemetrum,acceleration,14.643953,15.177314,0.930951,True
1.335000,easymini,pressure,929.333227,252.970942,13.495894,False
1.340000,telemetrum,pressure,29.170872,253.072661,0.013286,True
1.340000,telemetrum,acceleration,6.271202,15.173274,0.170822,True
1.345000,easymini,pressure,917.139818,252.953962,13.145833,False
1.350000,telemetrum,pressure,35.077352,253.054953,0.019214,True
1.350000,telemetrum,acceleration,-0.849990,15.170347,0.003139,True
1.355000,easymini,pressure,927.795351,252.937210,13.454852,False
1.360000,telemetrum,pressure,40.826068,253.037484,0.026032,True
1.360000,telemetrum,acceleration,-8.982628,15.168225,0.350701,True
1.365000,easymini,pressure,918.293308,252.920682,13.182390,False
1.370000,telemetrum,pressure,46.409509,253.020249,0.033644,True
1.370000,telemetrum,acceleration,-13.330887,15.166685,0.772568,True
1.375000,easymini,pressure,916.666361,252.904370,13.137415,False
1.380000,telemetrum,pressure,51.862692,253.003242,0.042020,True
1.380000,telemetrum,acceleration,7.742636,15.165568,0.260652,True
1.385000,easymini,pressure,920.121603,252.888259,13.238328,False
1.390000,telemetrum,pressure,32.410374,252.986446,0.016412,True
1.390000,telemetrum,acceleration,-15.600888,15.164756,1.058346,True
1.395000,easymini,pressure,917.900926,252.872333,13.176164,False
1.400000,telemetrum,pressure,38.274933,252.969845,0.022892,True
1.400000,telemetrum,acceleration,-31.355413,15.164167,4.275510,True
1.405000,easymini,pressure,916.460748,252.856616,13.136483,False
1.410000,telemetrum,pressure,43.906395,252.953462,0.030128,True
1.410000,telemetrum,acceleration,-20.534738,15.163739,1.833858,True
1.415000,easymini,pressure,920.987408,252.841093,13.268202,False
1.420000,telemetrum,pressure,49.507788,252.937283,0.038311,True
1.420000,telemetrum,acceleration,-15.432601,15.163428,1.035818,True
1.425000,easymini,pressure,905.444020,252.825762,12.825685,False
1.430000,telemetrum,pressure,55.039193,252.921306,0.047356,True
1.430000,telemetrum,acceleration,20.906020,15.163202,1.900907,True
1.435000,easymini,pressure,911.048857,252.810609,12.986519,False
1.440000,telemetrum,pressure,40.739645,252.905515,0.025949,True
1.440000,telemetrum,acceleration,9.052499,15.163038,0.356422,True
1.445000,easymini,pressure,907.954193,252.795623,12.899972,False
1.450000,telemetrum,pressure,46.740656,252.889900,0.034161,True
1.450000,telemetrum,acceleration,-6.221876,15.162919,0.168375,True
1.455000,easymini,pressure,920.672412,252.780825,13.265451,False
1.460000,telemetrum,pressure,52.543798,252.874481,0.043175,True
1.460000,telemetrum,acceleration,29.277066,15.162832,3.728159,True
1.465000,easymini,pressure,912.524877,252.766195,13.033212,False
1.470000,telemetrum,pressure,58.501611,252.859238,0.053528,True
1.470000,telemetrum,acceleration,26.510033,15.162769,3.056775,True
1.475000,easymini,pressure,911.296382,252.751741,12.999630,False
1.480000,telemetrum,pressure,64.377582,252.844179,0.064828,True
1.480000,telemetrum,acceleration,17.441427,15.162724,1.323151,True
1.485000,easymini,pressure,892.951579,252.737460,12.482931,False
1.490000,telemetrum,pressure,45.132279,252.829303,0.031865,True
1.490000,telemetrum,acceleration,43.260020,15.162691,8.139934,True
1.495000,easymini,pressure,894.256962,252.723314,12.520857,False
